concessionaria_ped;praca_de_pedagio;rodovia_ped;uf_ped;km_m_ped;municipio_ped;sentido_ped;situacao_ped;latitude_ped;longitude_ped;concessionaria_rad;tipo_de_radar;rodovia_rad;uf_rad;km_m_rad;municipio;tipo_pista;sentido_rad;situacao_rad;latitude_rad;longitude_rad;velocidade_leve;velocidade_pesado;UF_rod;extencao_km_federal
AUTOPISTA FERNÃO DIAS;1 Norte - Defasada (Mairiporã);BR-381;SP;67,8;Mairiporã;Decrescente;Ativo;-23,34121;-46,573664;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;SP;78,2;São Paulo_rad;Principal;Crescente;Ativo;-23,401335;-46,575964;80;60;AC;1355
AUTOPISTA FERNÃO DIAS;1 Norte (Mairiporã);BR-381;SP;65,7;Mairiporã;Decrescente;Ativo;-23,322298;-46,581097;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;SP;76,4;São Paulo;Principal;Decrescente;Ativo;-23,387687;-46,569328;80;60;AL;841
AUTOPISTA FERNÃO DIAS;1 Sul (Mairiporã);BR-381;SP;66,6;Mairiporã;Crescente;Ativo;-23,330558;-46,578337;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;SP;75,65;São Paulo;Principal;Crescente;Ativo;-23,384708;-46,564716;80;60;AP;545
AUTOPISTA FERNÃO DIAS;2 (Vargem);BR-381;SP;7,3;Vargem;Crescente/Decrescente;Ativo;-22,908685;-46,424877;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;SP;73,06;São Paulo;Principal;Decrescente;Ativo;-23,368741;-46,554044;80;60;AM;989
AUTOPISTA FERNÃO DIAS;3 (Cambuí);BR-381;MG;900,9;Cambuí;Crescente/Decrescente;Ativo;-22,628487;-46,07789;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;SP;70,2;Mairiporã;Principal;Decrescente;Ativo;-23,349188;-46,556532;80;60;BA;9302
AUTOPISTA FERNÃO DIAS;4 (São Gonçalo);BR-381;MG;805,2;São Gonçalo do Sapucaí;Crescente/Decrescente;Ativo;-21,970441;-45,631188;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;SP;59,795;Mairiporã;Principal;Crescente;Ativo;-23,289138;-46,58792;80;60;CE;3773
AUTOPISTA FERNÃO DIAS;5 (Carmo da Cachoeira);BR-381;MG;735,5;Carmo da Cachoeira;Crescente/Decrescente;Ativo;-21,5457;-45,240203;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;MG;923,38;Camanducaia;Principal;Crescente;Ativo;-22,77438;-46,185834;80;60;DF;456
AUTOPISTA FERNÃO DIAS;6 (Santo Antônio do Amparo);BR-381;MG;658,3;Santo Antônio do Amparo;Crescente/Decrescente;Ativo;-21,000367;-44,966967;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;MG;920,8;Camanducaia;Principal;Crescente;Ativo;-22,760561;-46,167674;80;60;ES;1743
AUTOPISTA FERNÃO DIAS;7 (Carmópolis de Minas);BR-381;MG;597,7;Carmópolis de Minas;Crescente/Decrescente;Ativo;-20,591486;-44,701506;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;MG;907,72;Cambuí;Principal;Decrescente;Ativo;-22,676048;-46,09803;80;60;GO;7684
AUTOPISTA FERNÃO DIAS;8 (Itatiaiuçu);BR-381;MG;545,9;Itatiaiuçu;Crescente/Decrescente;Ativo;-20,268346;-44,423711;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;MG;886,25;Estiva;Principal;Decrescente;Ativo;-22,510753;-46,018149;80;60;MA;4724
AUTOPISTA FLUMINENSE;Casimiro de Abreu;BR-101;RJ;192,82;Casimiro de Abreu;Crescente/Decrescente;Ativo;-22,476441;-42,088519;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;MG;712,76;Carmo da Cachoeira;Principal;Decrescente;Ativo;-21,372782;-45,190037;80;60;MT;7156
AUTOPISTA FLUMINENSE;Conselheiro Josino;BR-101;RJ;40,5;Campos dos Goytacazes;Crescente/Decrescente;Ativo;-21,552594;-41,331597;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;MG;653,74;Santo Antônio do Amparo;Principal;Crescente;Ativo;-20,921689;-44,87147;80;60;MS;4739
AUTOPISTA FLUMINENSE;Rio Bonito;BR-101;RJ;252,85;Rio Bonito;Crescente/Decrescente;Ativo;-22,687469;-42,539855;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;MG;643,224;Santo Antônio do Amparo;Principal;Crescente;Ativo;-20,921689;-44,87147;80;60;MG;15557
