concessionaria;ano_do_pnv_snv;rodovia_uf;sentido;subtipo_de_pista;numero_de_faixas;km_m_inicial;latitude_inicial;latitude_final;km_m_final;longitude_inicial;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;539,913;-20,227964;-20,265811;545,655;-44,396268;-44,422988
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;545,656;-20,265811;-20,761626;620,756;-44,422988;-44,777047
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;620,757;-20,761626;-20,774302;622,344;-44,777047;-44,781842
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;622,345;-20,774302;-21,988444;809,336;-44,781842;-45,663757
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;809,337;-21,988444;-21,998089;811,000;-45,663757;-45,674108
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;811,001;-21,998089;-22,336461;862,568;-45,674108;-45,923272
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;862,569;-22,336461;-22,366228;866,251;-45,923272;-45,931786
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;866,252;-22,366228;-22,449581;878,550;-45,931786;-45,998405
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;878,551;-22,449581;-22,459833;880,271;-45,998405;-46,010088
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;880,272;-22,459833;-22,662194;905,372;-46,010088;-46,089488
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;905,373;-22,662194;-22,686208;909,026;-46,089488;-46,103342
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;909,027;-22,686208;-22,799675;933,849;-46,103342;-46,259721
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;933,850;-22,799675;-22,804161;935,465;-46,259721;-46,273240
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;935,466;-22,804161;-22,832716;941,604;-46,273240;-46,317145
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;941,605;-22,832716;-22,842680;943,578;-46,317145;-46,330361
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;943,579;-22,842680;-22,849365;944,569;-46,330361;-46,336634
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;944,570;-22,849365;-22,854696;945,181;-46,336634;-46,337211
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;945,182;-22,854696;-22,879691;949,900;-46,337211;-46,373253
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Crescente;Dupla;2;0,000;-19,961277;-19,991458;7,400;-44,155936;-44,207061
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;2;0,000;-22,879691;-23,139254;41,244;-46,373253;-46,575771
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;3;41,245;-23,139254;-23,202681;48,777;-46,575771;-46,589584
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;2;48,778;-23,202681;-23,212661;50,036;-46,589584;-46,593383
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;3;50,037;-23,212661;-23,235433;52,794;-46,593383;-46,601549
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;2;52,795;-23,235433;-23,245449;53,938;-46,601549;-46,594978
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;3;53,939;-23,245449;-23,262135;56,345;-46,594978;-46,586830
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;2;56,346;-23,262135;-23,323657;65,798;-46,586830;-46,580888
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;3;65,799;-23,323657;-23,344050;68,305;-46,580888;-46,571767
